Alert22: RI does not respect the vessel velocity specified by the AIS (ship at anchor),channel=1, mmsi=257344000, delta t=185.598633, sog_mes=0.000000, toa=603.940857, id=3, nb_error= 1, nb_r=3 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228431900, delta t=1.640015, sog_mes=5.400000, toa=611.660278, id=3, nb_error= 24, nb_r=102, perc.=0.235294 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227801900, delta t=10.778656, sog_mes=10.000000, toa=629.998505, id=3, nb_error= 1, nb_r=56, perc.=0.017857 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227002630, delta t=8.960938, sog_mes=0.100000, toa=636.239227, id=3, nb_error= 3, nb_r=20 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227801800, delta t=10.960266, sog_mes=11.500000, toa=662.460419, id=1, nb_error= 2, nb_r=61, perc.=0.032787 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227806500, delta t=9.100830, sog_mes=0.000000, toa=670.219055, id=3, nb_error= 3, nb_r=59, perc.=0.050847 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227592820, delta t=18.724823, sog_mes=0.000000, toa=760.624451, id=3, nb_error= 1, nb_r=67, perc.=0.014925 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227806400, delta t=11.778503, sog_mes=8.600000, toa=764.078369, id=1, nb_error= 2, nb_r=68, perc.=0.029412 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227806500, delta t=10.777863, sog_mes=102.300003, toa=770.957703, id=1, nb_error= 4, nb_r=68, perc.=0.058824 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227806500, delta t=9.101288, sog_mes=102.300003, toa=790.219025, id=1, nb_error= 5, nb_r=69, perc.=0.072464 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228394000, delta t=8.781464, sog_mes=0.000000, toa=830.299683, id=3, nb_error= 3, nb_r=77, perc.=0.038961 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227806500, delta t=10.778625, sog_mes=102.300003, toa=830.957764, id=1, nb_error= 6, nb_r=70, perc.=0.085714 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227806500, delta t=9.101532, sog_mes=102.300003, toa=850.219452, id=1, nb_error= 7, nb_r=70, perc.=0.100000 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227570230, delta t=10.960541, sog_mes=2.500000, toa=853.540619, id=3, nb_error= 2, nb_r=77, perc.=0.025974 
Alert22: RI does not respect the vessel velocity specified by the AIS (ship at anchor), channel=1, mmsi=228017700, delta t=4.959869, sog_mes=13.500000, toa=856.379578, id=3, nb_error= 1, nb_r=58, perc.=0.017241 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227570230, delta t=8.919830, sog_mes=4.600000, toa=862.460449, id=1, nb_error= 3, nb_r=78, perc.=0.038462 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227006650, delta t=8.619293, sog_mes=0.600000, toa=947.661438, id=3, nb_error= 4, nb_r=77, perc.=0.051948 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227006680, delta t=10.961151, sog_mes=0.000000, toa=953.181183, id=3, nb_error= 3, nb_r=29, perc.=0.103448 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227801900, delta t=11.253479, sog_mes=9.100000, toa=989.917603, id=1, nb_error= 2, nb_r=79, perc.=0.025316 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227006650, delta t=51.424622, sog_mes=0.100000, toa=999.086060, id=1, nb_error= 5, nb_r=72, perc.=0.069444 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227806500, delta t=8.979431, sog_mes=0.000000, toa=1020.339081, id=3, nb_error= 8, nb_r=74, perc.=0.108108 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227806500, delta t=9.168823, sog_mes=0.000000, toa=1029.507904, id=1, nb_error= 9, nb_r=69, perc.=0.130435 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227801800, delta t=8.542847, sog_mes=11.900000, toa=1031.441742, id=1, nb_error= 3, nb_r=79, perc.=0.037975 
Alert22: RI does not respect the vessel velocity specified by the AIS (ship at anchor),channel=1, mmsi=563071100, delta t=185.043732, sog_mes=0.000000, toa=1033.144165, id=3, nb_error= 1, nb_r=4 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227806300, delta t=10.858398, sog_mes=9.900000, toa=1060.300262, id=3, nb_error= 2, nb_r=81, perc.=0.024691 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227806300, delta t=8.998749, sog_mes=9.800000, toa=1069.299011, id=1, nb_error= 3, nb_r=82, perc.=0.036585 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227806500, delta t=10.898224, sog_mes=102.300003, toa=1131.357880, id=1, nb_error= 10, nb_r=74, perc.=0.135135 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227592820, delta t=10.737823, sog_mes=0.000000, toa=1131.677795, id=3, nb_error= 2, nb_r=79, perc.=0.025316 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227806500, delta t=9.158691, sog_mes=102.300003, toa=1149.498505, id=1, nb_error= 11, nb_r=70, perc.=0.157143 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228394000, delta t=10.799438, sog_mes=0.000000, toa=1201.178558, id=3, nb_error= 3, nb_r=82, perc.=0.036585 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228394000, delta t=8.979095, sog_mes=0.000000, toa=1210.157654, id=1, nb_error= 4, nb_r=77, perc.=0.051948 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=226263000, delta t=9.155914, sog_mes=0.400000, toa=1222.299316, id=3, nb_error= 2, nb_r=53, perc.=0.037736 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=226263000, delta t=0.159332, sog_mes=0.600000, toa=1232.059021, id=3, nb_error= 3, nb_r=55, perc.=0.054545 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227802100, delta t=8.761047, sog_mes=11.400000, toa=1232.259613, id=3, nb_error= 2, nb_r=80, perc.=0.025000 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227802100, delta t=10.798615, sog_mes=11.100000, toa=1243.058228, id=1, nb_error= 3, nb_r=81, perc.=0.037037 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=226263000, delta t=12.320038, sog_mes=1.300000, toa=1291.899658, id=1, nb_error= 4, nb_r=61, perc.=0.065574 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227006650, delta t=8.778015, sog_mes=0.000000, toa=1327.920197, id=1, nb_error= 4, nb_r=72, perc.=0.055556 
