Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=19.564789, sog_mes=0.000000, toa=400.105255, id=1, nb_error= 24, nb_r=32, perc.=0.750000 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227867000, delta t=18.783630, sog_mes=0.100000, toa=401.181793, id=1, nb_error= 3, nb_r=36, perc.=0.083333 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227148000, delta t=1.915283, sog_mes=0.000000, toa=402.020538, id=1, nb_error= 25, nb_r=33, perc.=0.757576 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=18.920532, sog_mes=0.000000, toa=402.302124, id=1, nb_error= 12, nb_r=27, perc.=0.444444 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=18.279205, sog_mes=0.000000, toa=420.299744, id=1, nb_error= 26, nb_r=34, perc.=0.764706 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=19.999237, sog_mes=0.000000, toa=433.339447, id=1, nb_error= 13, nb_r=29, perc.=0.448276 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006650, delta t=19.156128, sog_mes=0.000000, toa=437.840942, id=1, nb_error= 2, nb_r=42, perc.=0.047619 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=20.266235, sog_mes=0.000000, toa=440.565979, id=1, nb_error= 27, nb_r=35, perc.=0.771429 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227148000, delta t=0.415009, sog_mes=0.000000, toa=440.980988, id=1, nb_error= 28, nb_r=36, perc.=0.777778 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227347000, delta t=19.238281, sog_mes=0.000000, toa=441.619110, id=1, nb_error= 3, nb_r=42, perc.=0.071429 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=19.124115, sog_mes=0.000000, toa=460.105103, id=1, nb_error= 29, nb_r=37, perc.=0.783784 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227148000, delta t=1.916809, sog_mes=0.000000, toa=462.021912, id=1, nb_error= 30, nb_r=38, perc.=0.789474 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=18.918274, sog_mes=0.000000, toa=462.299805, id=1, nb_error= 14, nb_r=31, perc.=0.451613 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=21.558716, sog_mes=0.000000, toa=493.339600, id=1, nb_error= 15, nb_r=33, perc.=0.454545 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=18.838898, sog_mes=0.000000, toa=522.219696, id=1, nb_error= 16, nb_r=35, perc.=0.457143 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=226263000, delta t=18.600067, sog_mes=0.000000, toa=552.099854, id=1, nb_error= 1, nb_r=43, perc.=0.023256 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=21.554657, sog_mes=0.000000, toa=553.339661, id=1, nb_error= 17, nb_r=37, perc.=0.459459 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227867000, delta t=19.798492, sog_mes=0.100000, toa=561.499542, id=1, nb_error= 4, nb_r=51, perc.=0.078431 
Alert21: RI is a multiple of the RI specified by standard (ship at anchor), channel=1, mmsi=228353900, delta t=356.517700, sog_mes=0.000000, toa=573.019775, id=3, nb_error= 1, nb_r=3 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227347000, delta t=20.460876, sog_mes=0.000000, toa=593.018799, id=1, nb_error= 4, nb_r=56, perc.=0.071429 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=21.558990, sog_mes=0.000000, toa=613.339447, id=1, nb_error= 18, nb_r=41, perc.=0.439024 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227867000, delta t=40.320862, sog_mes=0.100000, toa=621.499939, id=1, nb_error= 5, nb_r=54, perc.=0.092593 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=18.839172, sog_mes=0.000000, toa=642.218994, id=1, nb_error= 19, nb_r=43, perc.=0.441860 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227347000, delta t=19.421234, sog_mes=0.000000, toa=651.979309, id=1, nb_error= 5, nb_r=61, perc.=0.081967 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227867000, delta t=20.418915, sog_mes=0.000000, toa=661.598114, id=1, nb_error= 6, nb_r=57, perc.=0.105263 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=226263000, delta t=19.039948, sog_mes=0.200000, toa=662.299805, id=1, nb_error= 2, nb_r=53, perc.=0.037736 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=20.800537, sog_mes=0.000000, toa=672.580688, id=1, nb_error= 20, nb_r=45, perc.=0.444444 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227867000, delta t=19.901794, sog_mes=0.300000, toa=681.499908, id=1, nb_error= 7, nb_r=58, perc.=0.120690 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=18.839447, sog_mes=0.000000, toa=702.219666, id=1, nb_error= 21, nb_r=47, perc.=0.446809 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227867000, delta t=19.897736, sog_mes=0.100000, toa=721.597961, id=1, nb_error= 8, nb_r=61, perc.=0.131148 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=226263000, delta t=19.639374, sog_mes=0.100000, toa=722.299591, id=1, nb_error= 3, nb_r=58, perc.=0.051724 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227347000, delta t=29.821075, sog_mes=0.000000, toa=722.378937, id=1, nb_error= 6, nb_r=66, perc.=0.090909 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=20.798767, sog_mes=0.000000, toa=732.578857, id=1, nb_error= 22, nb_r=49, perc.=0.448980 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227867000, delta t=19.902161, sog_mes=0.300000, toa=741.500122, id=1, nb_error= 9, nb_r=62, perc.=0.145161 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=19.319519, sog_mes=0.000000, toa=762.219452, id=1, nb_error= 23, nb_r=51, perc.=0.450980 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227867000, delta t=29.124817, sog_mes=0.100000, toa=781.603180, id=1, nb_error= 10, nb_r=64, perc.=0.156250 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227347000, delta t=20.640869, sog_mes=0.000000, toa=781.758301, id=1, nb_error= 7, nb_r=71, perc.=0.098592 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=226263000, delta t=19.639313, sog_mes=0.100000, toa=782.299927, id=1, nb_error= 4, nb_r=63, perc.=0.063492 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=19.400177, sog_mes=0.000000, toa=792.580139, id=1, nb_error= 24, nb_r=53, perc.=0.452830 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=310705000, delta t=18.822021, sog_mes=0.000000, toa=806.820374, id=1, nb_error= 2, nb_r=79, perc.=0.025316 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=19.319305, sog_mes=0.000000, toa=822.219025, id=1, nb_error= 25, nb_r=55, perc.=0.454545 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227867000, delta t=19.897675, sog_mes=0.200000, toa=841.598083, id=1, nb_error= 11, nb_r=69, perc.=0.159420 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=226263000, delta t=19.640961, sog_mes=0.100000, toa=842.299866, id=1, nb_error= 5, nb_r=68, perc.=0.073529 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=19.399841, sog_mes=0.000000, toa=852.580170, id=1, nb_error= 26, nb_r=57, perc.=0.456140 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=19.320404, sog_mes=0.000000, toa=882.219910, id=1, nb_error= 27, nb_r=59, perc.=0.457627 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227867000, delta t=19.899475, sog_mes=0.000000, toa=901.599396, id=1, nb_error= 12, nb_r=74, perc.=0.162162 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227347000, delta t=20.640045, sog_mes=0.000000, toa=901.758301, id=1, nb_error= 8, nb_r=81, perc.=0.098765 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=226263000, delta t=19.634552, sog_mes=0.100000, toa=902.299744, id=1, nb_error= 6, nb_r=73, perc.=0.082192 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=19.444489, sog_mes=0.000000, toa=912.624756, id=1, nb_error= 27, nb_r=57, perc.=0.473684 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=226263000, delta t=20.559296, sog_mes=0.000000, toa=932.398560, id=1, nb_error= 7, nb_r=74, perc.=0.094595 
