Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227635210, delta t=1.760864, sog_mes=8.900000, toa=67.079285, id=1, nb_error= 10, nb_r=13 
new frame 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=21.137146, sog_mes=0.000000, toa=73.439667, id=1, nb_error= 2, nb_r=4 
Recording new boat, TS=290 ,mmsi=230138350 , toa=7.494202e+01 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=19.261932, sog_mes=0.000000, toa=78.779968, id=1, nb_error= 2, nb_r=3 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227148000, delta t=3.061951, sog_mes=0.000000, toa=81.841919, id=1, nb_error= 3, nb_r=4 
Recording new boat, TS=748 ,mmsi=227306100 , toa=8.715747e+01 
Recording new boat, TS=780 ,mmsi=228041600 , toa=8.800067e+01 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=228431900, delta t=19.000397, sog_mes=0.000000, toa=94.998505, id=1, nb_error= 2, nb_r=9, perc.=0.222222 
Alert3 : TS was not reserved by the ship mmsi=227006650,mes id = 1, TS==1114 , toa=96.917236, slot_timeout =1 , slot_offset = -1, nb_error= 1, nb_r=8 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227148000, delta t=17.877960, sog_mes=0.000000, toa=99.719879, id=1, nb_error= 4, nb_r=5 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227148000, delta t=1.579834, sog_mes=0.000000, toa=101.299713, id=1, nb_error= 5, nb_r=6 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227347000, delta t=21.781006, sog_mes=0.000000, toa=103.020508, id=1, nb_error= 2, nb_r=8 
Alert3 : TS was not reserved by the ship mmsi=227347000,mes id = 1, TS==1343 , toa=103.020508, slot_timeout =2 , slot_offset = -1, nb_error= 1, nb_r=8 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=20.159515, sog_mes=0.000000, toa=103.259583, id=1, nb_error= 3, nb_r=6 
Alert3 : TS was not reserved by the ship mmsi=228431900,mes id = 1, TS==1480 , toa=106.679718, slot_timeout =4 , slot_offset = -1, nb_error= 1, nb_r=13 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=228394000, delta t=9.600006, sog_mes=0.000000, toa=110.779907, id=3, nb_error= 1, nb_r=11 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228394000, delta t=9.227875, sog_mes=0.000000, toa=120.007782, id=1, nb_error= 1, nb_r=11 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=18.962646, sog_mes=0.000000, toa=120.262360, id=1, nb_error= 3, nb_r=4 
Recording new boat, TS=2153 ,mmsi=228768000 , toa=1.246202e+02 
new frame 
Recording new boat, TS=22 ,mmsi=228709000 , toa=1.277822e+02 
Recording new boat, TS=36 ,mmsi=228381900 , toa=1.281573e+02 
Recording new boat, TS=69 ,mmsi=563071100 , toa=1.290398e+02 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227570230, delta t=10.080627, sog_mes=7.100000, toa=132.540405, id=3, nb_error= 1, nb_r=13 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=21.139740, sog_mes=0.000000, toa=133.442841, id=1, nb_error= 4, nb_r=8 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228431900, delta t=0.563690, sog_mes=0.000000, toa=138.642242, id=3, nb_error= 4, nb_r=16 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228431900, delta t=1.337769, sog_mes=0.000000, toa=139.980011, id=3, nb_error= 5, nb_r=17 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=20.277771, sog_mes=0.000000, toa=140.540131, id=1, nb_error= 4, nb_r=5 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227148000, delta t=1.298431, sog_mes=0.000000, toa=141.838562, id=1, nb_error= 6, nb_r=7 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=226263000, delta t=9.059601, sog_mes=0.000000, toa=142.639648, id=3, nb_error= 1, nb_r=2 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227570230, delta t=10.299225, sog_mes=7.200000, toa=142.839630, id=1, nb_error= 2, nb_r=14 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227802100, delta t=10.536987, sog_mes=11.100000, toa=142.917786, id=3, nb_error= 1, nb_r=14 
Alert3 : TS was not reserved by the ship mmsi=228431900, mes id = 3, TS=726 , toa=146.558685, slot_increment = -1, keep_flag = -1, nb_error= 2, nb_r=21, perc.=0.095238
Recording new boat, TS=763 ,mmsi=235000322 , toa=1.475577e+02 
Recording new boat, TS=813 ,mmsi=227803300 , toa=1.488783e+02 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=226263000, delta t=9.200409, sog_mes=0.000000, toa=151.840057, id=3, nb_error= 2, nb_r=3 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227802100, delta t=9.161865, sog_mes=11.200000, toa=152.079651, id=1, nb_error= 1, nb_r=14 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=228431900, delta t=6.218842, sog_mes=0.000000, toa=154.998535, id=1, nb_error= 3, nb_r=18 
Alert3 : TS was not reserved by the ship mmsi=227006650,mes id = 1, TS==1116 , toa=156.958435, slot_timeout =0 , slot_offset = 2265, nb_error= 2, nb_r=14 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227148000, delta t=17.879730, sog_mes=0.000000, toa=159.718292, id=1, nb_error= 7, nb_r=8 
Recording new boat, TS=1236 ,mmsi=227998200 , toa=1.601577e+02 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227148000, delta t=1.599213, sog_mes=0.000000, toa=161.317505, id=1, nb_error= 8, nb_r=9 
Recording new boat, TS=1310 ,mmsi=538009439 , toa=1.621407e+02 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=19.199280, sog_mes=0.000000, toa=162.299286, id=1, nb_error= 5, nb_r=10 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=226263000, delta t=11.077881, sog_mes=0.000000, toa=162.917938, id=3, nb_error= 3, nb_r=4 
Recording new boat, TS=1619 ,mmsi=310805000 , toa=1.703801e+02 
Alert21: RI is a multiple of the RI specified by standard (ship at anchor), channel=2, mmsi=228017700, delta t=21.417053, sog_mes=13.600000, toa=171.718262, id=1, nb_error= 1, nb_r=16, perc.=0.062500 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=226263000, delta t=9.645416, sog_mes=0.100000, toa=172.563354, id=1, nb_error= 1, nb_r=2 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228431900, delta t=7.753235, sog_mes=0.000000, toa=174.439392, id=3, nb_error= 6, nb_r=22 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228431900, delta t=0.679077, sog_mes=0.000000, toa=175.118469, id=3, nb_error= 7, nb_r=23 
Alert3 : TS was not reserved by the ship mmsi=227006650,mes id = 1, TS==1892 , toa=177.645752, slot_timeout =1 , slot_offset = -1, nb_error= 3, nb_r=16 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=18.960266, sog_mes=0.000000, toa=180.277771, id=1, nb_error= 5, nb_r=6 
Recording new boat, TS=2009 ,mmsi=227800200 , toa=1.807799e+02 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228431900, delta t=10.880066, sog_mes=0.000000, toa=185.998535, id=3, nb_error= 8, nb_r=24 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228431900, delta t=0.681274, sog_mes=0.000000, toa=186.679810, id=3, nb_error= 9, nb_r=25 
Alert3 : TS was not reserved by the ship mmsi=228431900, mes id = 3, TS=2230 , toa=186.679810, slot_increment = 72, keep_flag = 0, nb_error= 3, nb_r=28, perc.=0.107143
new frame 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227867000, delta t=28.681641, sog_mes=0.100000, toa=191.199463, id=1, nb_error= 1, nb_r=16, perc.=0.062500 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228431900, delta t=5.301605, sog_mes=0.000000, toa=191.981415, id=3, nb_error= 10, nb_r=26 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=21.138763, sog_mes=0.000000, toa=193.442383, id=1, nb_error= 6, nb_r=12 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=20.262390, sog_mes=0.000000, toa=200.540161, id=1, nb_error= 6, nb_r=7 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227148000, delta t=1.298157, sog_mes=0.000000, toa=201.838318, id=1, nb_error= 9, nb_r=10 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228431900, delta t=5.982819, sog_mes=0.000000, toa=201.981293, id=3, nb_error= 11, nb_r=28 
Alert3 : TS was not reserved by the ship mmsi=228431900, mes id = 3, TS=554 , toa=201.981293, slot_increment = 410, keep_flag = 0, nb_error= 4, nb_r=31, perc.=0.129032
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228431900, delta t=0.258026, sog_mes=0.000000, toa=202.239319, id=3, nb_error= 12, nb_r=29 
Alert3 : TS was not reserved by the ship mmsi=228431900, mes id = 3, TS=564 , toa=202.239319, slot_increment = 279, keep_flag = 0, nb_error= 5, nb_r=32, perc.=0.156250
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228431900, delta t=5.302490, sog_mes=0.000000, toa=214.982452, id=3, nb_error= 13, nb_r=32 
Alert3 : TS was not reserved by the ship mmsi=228431900, mes id = 3, TS=1163 , toa=218.220520, slot_increment = 569, keep_flag = 0, nb_error= 6, nb_r=36, perc.=0.166667
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228431900, delta t=0.098145, sog_mes=0.100000, toa=218.318665, id=3, nb_error= 14, nb_r=34, perc.=0.411765 
