Alert3 : TS was not reserved by the ship mmsi=227867000, mes id = 3, TS=2040 , toa=661.598114, slot_increment = -1, keep_flag = -1, nb_error= 2, nb_r=57, perc.=0.035088
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=235000322, mes id = 3, TS=747 , toa=687.118225, slot_increment = 0, keep_flag = 0, nb_error= 1, nb_r=4, 
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=1196 , toa=699.085266, slot_increment = -1, keep_flag = -1, nb_error= 16, nb_r=68, perc.=0.235294
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=227998200, mes id = 3, TS=1236 , toa=700.162781, slot_increment = 0, keep_flag = 0, nb_error= 1, nb_r=4, 
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=538009439, mes id = 3, TS=1325 , toa=702.540283, slot_increment = 0, keep_flag = 0, nb_error= 1, nb_r=4, 
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=10 , toa=727.461304, slot_increment = -1, keep_flag = -1, nb_error= 17, nb_r=71, perc.=0.239437
Alert3 : TS was not reserved by the ship mmsi=227347000, mes id = 3, TS=1272 , toa=761.117432, slot_increment = -1, keep_flag = -1, nb_error= 3, nb_r=70, perc.=0.042857
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=1517 , toa=767.660583, slot_increment = -1, keep_flag = -1, nb_error= 18, nb_r=75, perc.=0.240000
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=1878 , toa=777.280060, slot_increment = -1, keep_flag = -1, nb_error= 19, nb_r=76, perc.=0.250000
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=372430000, mes id = 3, TS=2166 , toa=784.958221, slot_increment = 0, keep_flag = 0, nb_error= 2, nb_r=5, 
Alert3 : TS was not reserved by the ship mmsi=227867000, mes id = 3, TS=212 , toa=792.860443, slot_increment = -1, keep_flag = -1, nb_error= 3, nb_r=65, perc.=0.046154
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=817 , toa=808.982452, slot_increment = -1, keep_flag = -1, nb_error= 20, nb_r=79, perc.=0.253165
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=1198 , toa=819.141632, slot_increment = -1, keep_flag = -1, nb_error= 21, nb_r=80, perc.=0.262500
Alert3 : TS was not reserved by the ship mmsi=310705000, mes id = 3, TS=401 , toa=857.898865, slot_increment = -1, keep_flag = -1, nb_error= 1, nb_r=84, perc.=0.011905
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=235000322, mes id = 3, TS=738 , toa=866.878479, slot_increment = 0, keep_flag = 0, nb_error= 2, nb_r=5, 
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=227998200, mes id = 3, TS=1240 , toa=880.265289, slot_increment = 0, keep_flag = 0, nb_error= 2, nb_r=5, 
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=538009439, mes id = 3, TS=1308 , toa=882.079681, slot_increment = 0, keep_flag = 0, nb_error= 2, nb_r=5, 
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=8 , toa=907.404999, slot_increment = -1, keep_flag = -1, nb_error= 22, nb_r=84, perc.=0.261905
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=228017700, mes id = 3, TS=770 , toa=927.740265, slot_increment = 707, keep_flag = 1, nb_error= 1, nb_r=70, 
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=228017700, mes id = 3, TS=1477 , toa=946.579071, slot_increment = 759, keep_flag = 1, nb_error= 2, nb_r=72, 
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=228017700, mes id = 3, TS=1833 , toa=956.070282, slot_increment = 760, keep_flag = 1, nb_error= 3, nb_r=73, 
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=372430000, mes id = 3, TS=2117 , toa=963.660797, slot_increment = 0, keep_flag = 0, nb_error= 3, nb_r=5, 
Alert3 : TS was not reserved by the ship mmsi=228017700, mes id = 3, TS=2236 , toa=966.818726, slot_increment = -1, keep_flag = -1, nb_error= 4, nb_r=74, perc.=0.054054
Alert3 : TS was not reserved by the ship mmsi=228017700, mes id = 3, TS=342 , toa=976.318573, slot_increment = -1, keep_flag = -1, nb_error= 5, nb_r=69, perc.=0.072464
Alert3 : TS was not reserved by the ship (in moored or at anchor) mmsi=228041600, mes id = 3, TS=555 , toa=981.989746, slot_increment = 5447, keep_flag = 0, nb_error= 1, nb_r=5, 
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=1196 , toa=999.086060, slot_increment = -1, keep_flag = -1, nb_error= 22, nb_r=82, perc.=0.268293
Alert3 : TS was not reserved by the ship mmsi=227347000, mes id = 3, TS=1288 , toa=1001.538818, slot_increment = -1, keep_flag = -1, nb_error= 3, nb_r=79, perc.=0.037975
Alert3 : TS was not reserved by the ship mmsi=227867000, mes id = 3, TS=1312 , toa=1002.179291, slot_increment = -1, keep_flag = -1, nb_error= 4, nb_r=70, perc.=0.057143
Alert3 : TS was not reserved by the ship mmsi=227867000, mes id = 3, TS=1664 , toa=1011.579620, slot_increment = -1, keep_flag = -1, nb_error= 5, nb_r=71, perc.=0.070423
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=1952 , toa=1019.245392, slot_increment = -1, keep_flag = -1, nb_error= 23, nb_r=84, perc.=0.273810
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=10 , toa=1027.461975, slot_increment = -1, keep_flag = -1, nb_error= 22, nb_r=79, perc.=0.278481
